"RG","TG","COEF","RE"
"WNT9A","DVL2","0.241658754420442","2.06039733308727"
"PIK3R1","DVL2","0.5637859710898","8.08314079721823"
"TCF7L2","DVL2","0.371754124890262","4.40140159747855"
"TCF7L1","DVL2","0.494439597733198","5.82424745327975"
"WNT3A","DVL2","0.58789811810888","1.60281320147578"
"WNT7A","DVL2","0.288263788279941","0.423006318167038"
"FZD7","DVL2","0.75223849370472","9.4384746971633"
"FGF18","DVL2","-0.307708524089462","1.69264631519622"
"FZD1","DVL2","0.795141945216018","9.67596840925484"
"KIT","DVL2","0.66474966296311","8.9241725812152"
"BRAF","DVL2","0.496237219807507","5.62306774622934"
"FGF17","DVL2","0.690098485814574","2.57120170949172"
"SHC1","DVL2","0.592763214576223","7.29914067356149"
"DVL3","DVL2","0.71023622419089","8.73102612873939"
"LRP5","DVL2","0.410789880353254","5.29755691580245"
"FGF19","DVL2","0.61805698090595","1.87965609999586"
"WNT4","DVL2","0.687865446605137","5.74588050060164"
"HEY1","DVL2","0.248584038985866","2.43594233736335"
"FZD6","DVL2","0.624232044222004","7.09164705172979"
"FRAT1","DVL2","0.596739382506885","5.0153746538497"
"CTNNB1","DVL2","0.780315041267783","11.7331258713766"
"AXIN2","DVL2","0.361419524876482","3.43431608062805"
"MAP2K1","DVL2","-0.242765335874427","2.72167697617418"
"WNT10B","DVL2","-0.245067839126898","1.422859984552"
"PIK3CD","DVL2","0.679744359694028","6.89595592281086"
"HRAS","DVL2","0.480440901780123","4.7572314907729"
"FZD4","DVL2","-0.414170643217178","5.52630354497741"
"RPS6KB2","DVL2","0.801401128488814","7.88784364954313"
"FZD8","DVL2","0.580601438107205","5.84508279021398"
"JUN","DVL2","0.330703715258958","4.88446577176759"
"GRB2","DVL2","0.523707599536225","6.8085431750943"
"FZD2","DVL2","0.596948105418838","4.75611506486209"
"FRAT2","DVL2","0.635455659177768","5.89025810243093"
"JAG2","DVL2","0.774893643539835","8.87372589396634"
"SP1","DVL2","0.57218363792528","7.64586285355742"
"SHC4","DVL2","0.693976102332972","5.51617265118545"
"FGF3","DVL2","0.246963121495912","0.0795003215900673"
"WNT7B","DVL2","0.583172204214568","4.45273922425168"
"FZD9","DVL2","-0.302404766037198","1.64474979878387"
"FGF16","DVL2","-0.367149633643126","1.66579713284983"
"DLL1","DVL2","0.587455807811821","5.49666682577644"
"MTOR","DVL2","0.567031077564223","6.94401792683266"
"NRAS","DVL2","0.480881808073063","5.60609220096765"
"PDK4","DVL2","-0.283427816634268","4.07144247467212"
"TAC1","DVL2","0.546684725303044","3.12390426290974"
"CLCA4","DVL2","0.596494458408155","4.16215185964499"
"EFCAB1","DVL2","0.694670599628174","5.19293166422967"
"CAMK2B","DVL2","0.576298495703278","4.39187558770638"
"COL11A1","DVL2","0.571749007373866","3.9712742428433"
"TUBA3D","DVL2","0.638093363435049","3.03544149398261"
"SMC1B","DVL2","0.670997332698546","3.01546906451975"
"BRINP1","DVL2","0.607101577740319","5.10433401732742"
"SLC4A4","DVL2","-0.404246504004363","3.59033295561631"
"NKAIN1","DVL2","0.368476989647184","2.24461776863519"
"CEACAM6","DVL2","0.56964763218293","4.21612499923645"
"TMPRSS11E","DVL2","0.445242448065073","1.95296309040071"
"PGC","DVL2","0.403011314353689","1.22026502425945"
"MISP","DVL2","0.674701657919723","4.70620420270312"
"TPTEP1","DVL2","0.714725466651314","7.54421512453866"
"CHRDL1","DVL2","-0.360228646066034","4.90009781395142"
"CBLN1","DVL2","-0.370020828284232","2.28152848372752"
"CRYM","DVL2","0.540756325675409","3.09441639419933"
"PRSS33","DVL2","0.325156618719917","0.59679130479616"
"AMH","DVL2","0.55136576526432","1.99251838804218"
"CASP14","DVL2","0.268200107825883","0.771577195545563"
"HAS1","DVL2","-0.2900541128697","1.67093536733414"
"FAM83E","DVL2","0.681894566720199","4.62743850235732"
"ATRNL1","DVL2","0.45224206855016","3.28787971507785"
"KRT32","DVL2","0.618570293679455","2.80813592013548"
"B3GAT1","DVL2","0.623065710187967","4.62432272744146"
"HPX","DVL2","0.624595779068378","4.82282425717872"
"LIN7A","DVL2","0.477340297235615","4.73111385151103"
"CUX2","DVL2","0.549013850775043","3.52278790978584"
"RASAL1","DVL2","0.665488431692352","4.83087189117696"
"NME5","DVL2","0.721095225557967","5.56790298058801"
"HGD","DVL2","0.588481531498736","4.13430768916672"
"SMYD1","DVL2","0.446036381544807","4.00079104311079"
"PLA2G2D","DVL2","0.357321025809814","1.91300794220256"
"SLC8A2","DVL2","0.427577372041972","1.61675878297865"
"RARRES1","DVL2","0.47764609148078","5.340446939352"
"CNNM1","DVL2","0.676112751597321","4.62697322910013"
"KCNIP2","DVL2","-0.388209467874627","4.36986811300809"
"SPINK4","DVL2","0.28784637756689","0.363583901313868"
"HOXC13","DVL2","0.600105091000912","3.32392288129974"
"C4BPB","DVL2","0.378189374540042","2.13891426089667"
"H1-3","DVL2","0.499648953491044","1.0743400616137"
"CXCL6","DVL2","0.479047914080256","2.25918995618057"
"FLRT3","DVL2","0.661841358744652","5.65847859360412"
"SLURP1","DVL2","0.318425171763528","0.642002430620593"
"WNK4","DVL2","0.709049844804034","5.9455291584113"
"KRT17","DVL2","0.538245758667913","7.29924910555147"
"FOXA1","DVL2","0.643013871693855","7.22697050255553"
"EPO","DVL2","0.375798091783279","0.766271293913227"
"TNNT3","DVL2","-0.400127519679458","3.38928894714347"
"TNS4","DVL2","0.630243890827292","7.15488970242615"
"ACY3","DVL2","0.58594184706743","3.13841382757095"
"ALDH3B2","DVL2","0.591230494235349","6.28664533189102"
"CHRM3","DVL2","0.577572329630098","4.35101008292125"
"PEBP4","DVL2","0.278218705561469","1.73119289664818"
"SPX","DVL2","-0.402801759616033","3.67515652063377"
"MSI1","DVL2","0.710921103776816","4.8993445200476"
"HRK","DVL2","0.526432759846815","3.21931588966437"
"EMX1","DVL2","0.442227229918477","1.23341051397633"
"SCN2A","DVL2","0.716806192476427","6.32815399069739"
"GABBR2","DVL2","0.377465755087172","1.19037993701755"
"CLCA2","DVL2","0.271668985973488","2.56412429765084"
"COL2A1","DVL2","0.665066458182972","4.84049339485773"
"RHCG","DVL2","0.264881835240397","1.47693630198983"
"STAC2","DVL2","0.590718697378923","7.12185049644895"
"PADI3","DVL2","0.362993762477566","1.49227117395351"
"CYP4B1","DVL2","-0.31629961435594","3.16858610495909"
"DCDC2","DVL2","0.568129174702063","5.14194598727482"
"SLC22A3","DVL2","-0.372126187024598","3.37097890174643"
"CHRNA6","DVL2","0.341549234074598","0.504505051651806"
"CDH22","DVL2","0.542517138187994","2.83592510590685"
